Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,1/2/15,2,CAD,1385,"""eCommerce""",Clr Mastercard Int,Cl - MC Rewards,General,Foreign - EEA,0.18,EUR 0.0250,0,2.58,  BI6,4441,Sub-Regional - Foreign - EEA,500025667,Credit,Europe,1.78,1.35,5.71
2/28/15,1/2/15,6,CAD,1863.57,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,3.1,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,0.49,4.05,7.64
2/28/15,2/2/15,4,CAD,7812.47,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,14.24,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,9.85,2.7,26.79
2/28/15,3/2/15,1,CAD,130,"""eCommerce""",Clr Mastercard Int,Cl - MC Rewards,General,Foreign - EEA,0.18,EUR 0.0250,0,0.27,  BI6,4441,Sub-Regional - Foreign - EEA,500025667,Credit,Europe,0.21,0.68,1.15
2/28/15,4/2/15,1,CAD,-250,"""eCommerce""",Clr Mastercard Int,All Services,General,Foreign - EEA,0.17,EUR 0.0250,0,-0.47,  NN3,4441,Sub-Regional - Foreign - EEA,3853309999,Debit,Europe,-0.27,0.68,-0.06
2/28/15,6/2/15,1,CAD,-250,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.5,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.27,0.68,-0.09
2/28/15,19/02/2015,1,CAD,527.5,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign - EEA,0.87,EUR 0.0000,0,4.59,  NN8,4441,Sub-Regional - Foreign - EEA,500055493,Credit,Europe,0.71,0.68,5.97
2/28/15,22/02/2015,1,CAD,-200,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-0.6,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,-0.06,0.68,0.02
2/28/15,22/02/2015,4,CAD,1119.75,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign - EEA,0.87,EUR 0.0000,0,9.74,  NN8,4441,Sub-Regional - Foreign - EEA,500055493,Credit,Europe,1.45,2.7,13.89
2/28/15,23/02/2015,1,CAD,-300,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.58,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.33,0.68,-0.24
